1, 1, 7
1, 2, *
1, 3, -9
1, 4, +
1, 5, 6
1, 6, +
1, 7, 6
2, 1, 2
2, 2, *
2, 3, -7
2, 4, +
2, 5, -5
2, 6, +
2, 7, -5
3, 1, 2
3, 2, +
3, 3, 1
3, 4, *
3, 5, -1
3, 6, *
3, 7, 1
4, 1, -6
4, 2, -
4, 3, -8
4, 4, -
4, 5, 4
4, 6, *
4, 7, 5
5, 1, -9
5, 2, *
5, 3, 6
5, 4, *
5, 5, -4
5, 6, +
5, 7, 1
6, 1, 9
6, 2, -
6, 3, -7
6, 4, *
6, 5, 6
6, 6, -
6, 7, 9
7, 1, -9
7, 2, +
7, 3, -1
7, 4, -
7, 5, 1
7, 6, *
7, 7, 7
8, 1, 8
8, 2, -
8, 3, -4
8, 4, *
8, 5, 3
8, 6, +
8, 7, 9
9, 1, -2
9, 2, +
9, 3, -3
9, 4, *
9, 5, -6
9, 6, -
9, 7, 9
10, 1, -7
10, 2, +
10, 3, -4
10, 4, *
10, 5, -8
10, 6, -
10, 7, -4
11, 1, 7
11, 2, -
11, 3, 2
11, 4, *
11, 5, -8
11, 6, -
11, 7, 9
12, 1, 9
12, 2, -
12, 3, -7
12, 4, -
12, 5, -3
12, 6, +
12, 7, 3
13, 1, 3
13, 2, +
13, 3, 3
13, 4, *
13, 5, 4
13, 6, -
13, 7, -4
14, 1, 6
14, 2, *
14, 3, -9
14, 4, +
14, 5, -7
14, 6, -
14, 7, -6
15, 1, -5
15, 2, *
15, 3, 1
15, 4, -
15, 5, 2
15, 6, *
15, 7, 3
16, 1, 4
16, 2, *
16, 3, 2
16, 4, -
16, 5, 8
16, 6, *
16, 7, -6
17, 1, -2
17, 2, +
17, 3, -9
17, 4, *
17, 5, -9
17, 6, +
17, 7, -6
18, 1, -7
18, 2, -
18, 3, 5
18, 4, *
18, 5, 1
18, 6, *
18, 7, 4
19, 1, -3
19, 2, *
19, 3, -9
19, 4, +
19, 5, 3
19, 6, +
19, 7, -6
20, 1, -7
20, 2, *
20, 3, 8
20, 4, *
20, 5, -3
20, 6, *
20, 7, -2
21, 1, 7
21, 2, +
21, 3, -8
21, 4, +
21, 5, 1
21, 6, *
21, 7, 6
22, 1, -7
22, 2, -
22, 3, -3
22, 4, +
22, 5, -8
22, 6, +
22, 7, 4
23, 1, 7
23, 2, *
23, 3, -6
23, 4, -
23, 5, -4
23, 6, -
23, 7, 5
24, 1, -5
24, 2, +
24, 3, -8
24, 4, -
24, 5, -2
24, 6, *
24, 7, 8
25, 1, -2
25, 2, -
25, 3, 3
25, 4, *
25, 5, -9
25, 6, +
25, 7, 2
26, 1, -6
26, 2, *
26, 3, 9
26, 4, -
26, 5, -6
26, 6, *
26, 7, 9
27, 1, 5
27, 2, -
27, 3, -9
27, 4, -
27, 5, -3
27, 6, +
27, 7, 6
28, 1, -4
28, 2, *
28, 3, 2
28, 4, -
28, 5, -4
28, 6, +
28, 7, 3
29, 1, 1
29, 2, -
29, 3, -9
29, 4, -
29, 5, 7
29, 6, *
29, 7, 9
30, 1, 2
30, 2, +
30, 3, 6
30, 4, +
30, 5, 5
30, 6, -
30, 7, -1
31, 1, 3
31, 2, *
31, 3, -9
31, 4, +
31, 5, -2
31, 6, *
31, 7, -9
32, 1, 4
32, 2, +
32, 3, -3
32, 4, *
32, 5, -7
32, 6, *
32, 7, 7
33, 1, -9
33, 2, -
33, 3, -9
33, 4, -
33, 5, -4
33, 6, -
33, 7, 6
34, 1, 2
34, 2, -
34, 3, -9
34, 4, *
34, 5, 4
34, 6, +
34, 7, 1
35, 1, -4
35, 2, +
35, 3, -4
35, 4, +
35, 5, -7
35, 6, *
35, 7, 3
36, 1, 8
36, 2, +
36, 3, -4
36, 4, -
36, 5, 8
36, 6, -
36, 7, 3
37, 1, -4
37, 2, +
37, 3, -9
37, 4, *
37, 5, 9
37, 6, -
37, 7, 4
38, 1, 4
38, 2, *
38, 3, 6
38, 4, -
38, 5, -3
38, 6, *
38, 7, -8
39, 1, 1
39, 2, *
39, 3, 7
39, 4, *
39, 5, 8
39, 6, +
39, 7, 7
40, 1, -3
40, 2, -
40, 3, -2
40, 4, +
40, 5, -8
40, 6, +
40, 7, -8
